    delta_RA   delta_DEC
   -0.9358      0.9684
   -0.0046      0.1738
    0.1377      0.0225
    0.0315     -0.0693
    0.2018     -0.0063
    0.0699     -0.0857
    0.0962      0.0461
    0.0180     -0.1501
    0.0468     -0.2907
   -0.0398     -0.3540
   -0.0190      0.0768
   -0.0167     -0.2535
    0.0166      0.0207
   -0.0304      0.3929
    0.1376      0.1616
    0.0145      0.0066
   -0.2436     -0.0964
   -0.0601      0.1152
   -0.0466     -0.2299
    0.0357      0.0542
    0.0382      0.0645
    0.0988      0.0774
    0.1076      0.0738
    0.0933     -0.1018
    0.2309      0.3196
   -0.0076      0.0505
   -0.1065     -0.1957
    0.1527     -0.1374
   -0.0106     -0.1259
    0.0014     -0.5230
    0.0896      0.0612
   -0.1442      0.0215
   -0.0529      0.0629
   -0.0156      0.0104
   -0.0952      0.2292
    0.0572     -0.0176
    0.0600      0.3150
    0.0814      0.0875
    0.0684     -0.0144
   -0.0148     -0.0184
   -0.1019     -0.0226
   -0.0138      0.2154
    0.0273      0.0386
   -0.1161      0.2737
    0.2016     -0.2998
   -0.0183     -0.1061
    0.1406      0.0192
    0.0667      0.2449
    4.3014      3.0008
    0.0082      0.0456
   -0.6308      4.0963
    1.6643      1.8570
   -0.4532      0.2331
   -0.0629      0.2025
   -0.5181     -0.4976
   -0.0291     -0.1991
    0.0812      0.1664
    0.1655     -0.4377
    0.2947     -0.5482
    0.0252     -0.3160
   -0.0041      0.1884
    0.0377      0.0410
   -1.4633     -1.4846
   -0.1130      0.2976
   -0.3389      0.5216
    0.0616     -0.1640
   -0.0248      0.0220
   -0.0149      0.0022
   -0.0190     -0.3770
    0.0087     -0.2877
    0.0060     -0.0489
    0.0886     -0.1327
    0.0232     -0.0186
    0.0032     -0.0447
    0.1329     -0.4796
    0.0393     -0.0425
    0.0106     -0.0277
    0.0782     -0.0970
    0.1463     -0.0645
    0.0089     -0.1363
    0.1230     -0.0400
    0.0361     -0.3984
   -0.0329     -0.0899
   -0.0737     -0.3629
    0.1091     -0.2409
   -0.0212     -0.2762
    0.0675     -0.2630
    0.0643     -0.1592
    0.0064      0.6126
    0.0042      0.0540
    0.0171     -0.1726
   -0.0146     -0.1119
    0.0478     -0.3782
   -0.0430     -0.1922
   -0.0003      0.0952
    0.0483     -0.0600
   -0.0083      0.2243
   -0.0916     -0.1343
    0.0669     -0.0469
    0.0347     -0.0457
    0.0212     -0.0865
   -0.0244     -0.0250
   -0.0072     -0.0673
   -0.0248     -0.0239
    0.0233     -0.1100
    0.0563     -0.0053
   -0.0508     -0.1908
    0.0259      0.0875
    0.4854      0.3055
    0.0081      0.0232
    0.0796     -0.0240
   -0.0225     -0.0984
    0.0356      0.0787
    0.1732     -0.4590
    0.2813      0.3896
    0.0073     -0.2635
   -0.0260      0.0620
   -0.0076      0.1832
    0.0785      0.1053
    0.1968     -0.1730
   -0.0254     -0.0982
    0.0059     -0.0618
    0.0019     -0.0092
    0.0365      0.1262
   -0.0662      0.1282
    0.0054     -0.0669
   -0.0266      0.1549
    0.0264     -0.0023
   -0.6225      1.1088
    0.0047      0.0455
   -0.0233     -0.1736
   -1.5887     -1.7263
    0.0169     -0.1752
   -0.1125      0.0092
   -0.0554     -0.2147
   -0.0724     -0.1183
    0.1123      0.0034
   -1.2513      1.5567
    0.2102     -0.0738
   -0.0081     -0.0541
   -0.0882     -0.0292
   -0.0181     -0.0560
    0.0016      0.0151
   -0.0337     -0.2320
    0.1557      0.4198
   -0.0150     -0.0088
   -0.0065     -0.0151
    0.0486     -0.2099
    0.5269     -0.2509
   -0.1096     -0.0718
    0.1446     -0.4611
    0.2415     -0.2835
    0.0325      0.0389
   -0.0503      0.0117
   -0.0393     -0.1161
    0.2605     -0.0154
    0.0447     -0.0958
    0.2008     -0.6215
   -0.0054      0.0682
    1.7039      0.5186
   -0.2256      0.4512
   -0.0917      0.0953
    0.7363      0.1635
    3.9689     -3.0114
   -0.0383     -0.3947
    0.0705      0.3599
   -0.0899      0.0138
    0.1004     -0.1419
    0.1874      0.2787
   -0.3410      0.0286
   -0.1616     -0.1291
    0.1462      0.0084
    0.1816     -0.0502
    0.0272     -0.0414
    0.0939      0.4149
    0.4354      0.7450
    0.0697     -0.0255
   -0.0208     -0.0115
   -0.0680     -0.1215
    0.0299     -0.0632
   -0.0017      0.0081
   -0.0065     -0.1330
   -0.0769      0.2242
   -0.0382      0.3259
    0.1234     -0.4226
   -0.0396     -0.0561
    0.0521     -0.0203
   -0.0484     -0.1985
   -0.0148      0.1974
   -0.0088      0.0435
    0.1185     -0.0876
   -0.1349     -0.2107
    0.0708     -0.2494
   -0.0242     -0.1632
   -0.0978     -0.5612
    0.0160      0.0968
    0.0877      0.3266
   -0.0272      0.1315
    0.0111     -0.0489
    0.0322      0.0283
   -0.0069     -0.4674
    0.0078     -0.0388
   -0.0256      0.0744
    0.1698      0.1000
    0.3596     -0.0033
   -0.2518      0.0668
   -0.2000      0.1226
    0.3004      0.7960
    0.6585      0.8437
    0.0090     -0.1572
   -0.1106      0.1605
    0.0454     -0.0810
    0.0162      0.1744
    2.3085      1.2724
    0.0404      0.0824
    0.5293     -0.5740
   -0.0338     -0.1320
   -9.8716     -5.7228
    0.1547     -0.0007
    0.0182     -0.1087
    0.0585      0.0438
    0.0831     -0.2620
    0.1223     -0.0009
    0.0003     -0.2568
    0.0710     -0.0163
    0.0411     -0.0680
   -0.1927     -0.1564
    0.0673     -0.2309
   -0.0566     -0.5327
    0.4351      1.0128
    0.0581      0.0923
   -0.0265      0.0705
    0.0009     -0.0106
    0.0421     -0.3365
    0.0827      0.0415
   -0.6206     -0.0747
   -0.0616      0.1460
   -0.1913      0.1124
    0.1366      0.0760
    0.1210     -0.1194
    0.0495      0.2621
    0.0126     -0.0502
    0.0305     -0.0918
   -0.0185      0.0502
   -0.3420     -0.6051
   -0.1111      0.9537
    0.0530     -0.0004
   -0.0802      0.0984
    0.0460     -0.0566
    0.0120     -0.0528
    0.1541     -1.6262
   -0.0623     -0.0293
   -0.1260      0.1407
    1.0665      0.8029
   -0.0466      0.1202
    0.1755      0.2355
    0.1633      0.1777
    0.0802      0.1298
    0.1987      0.2927
    0.1515     -0.0792
   -0.0639     -0.2359
   -0.1637      0.0514
    0.1753     -0.5327
    0.1097      0.0950
   -0.1848      0.0793
   -0.1167      0.1050
    0.0504     -0.1357
   -0.0322      0.0320
   -0.0717      0.3005
    0.1897      0.1229
   -0.3309     -0.0686
    0.0730      0.0579
    0.0295      0.0472
   -0.2513     -0.2112
    0.2822     -0.1762
   -0.0214     -0.2406
    0.0750      0.0051
   -0.2878      0.1510
    0.1267     -0.2017
    0.0258     -0.0581
   -0.0284     -0.0046
   -0.1001     -0.1634
   -0.6075      0.3860
   -0.0293     -0.2324
    0.0229      0.0575
    0.0091     -0.0208
    0.0480      0.0146
   -0.0352     -0.0360
    0.0180      0.0868
    0.0287     -0.0669
    0.1033      0.0322
    0.0076      0.0257
   -0.2073     -0.5613
   -0.0435      0.0439
    0.0140      0.0191
    0.0120      0.0654
    0.0245      0.0048
   -0.0323     -0.0202
    0.0307     -0.0584
   -0.0406      0.0733
    0.0106      0.0196
    0.1539      0.1409
   -0.0281     -0.0201
    0.0080     -0.0956
    0.0217     -0.0764
    0.0112     -0.0415
   -0.4846      0.2501
    0.0630      0.1084
   -0.0106      0.0188
   -0.0541     -0.0180
    0.0935     -0.0632
   -0.0654      0.0219
    0.0764     -0.1177
    0.0923     -0.3035
   -0.1672      0.1194
   -0.1798     -0.7475
    0.0223      0.0277
    0.1921     -0.3024
    0.0605      0.0568
    0.0987     -0.0117
    0.0615     -0.1198
   -0.0032     -0.0211
    0.0210      0.0376
    0.0303     -0.0594
    0.1535     -0.1289
   -0.0558     -0.0681
    0.2271     -0.8396
   -0.2192     -0.2460
   -0.0642      0.1878
   -0.0262      0.3262
    0.0892     -0.1673
   -0.1327      0.3881
   -0.2764     -0.1869
    0.1352      0.0178
    0.6088     -0.1348
   -0.1674      0.8708
   -0.0175      0.1491
   -0.2089      0.0461
    0.1431     -0.0290
   -0.0985      0.1167
   -0.0680      0.0640
   -0.1064      0.0377
   -0.0285     -0.6053
    0.0077      0.1283
    0.0074     -0.0921
    0.2565      0.3077
   -0.1438      0.2040
   -0.0297      0.0970
   -0.4026      0.2237
    0.1207     -0.1445
    0.0228     -0.1811
   -0.8746     -0.5402
    0.0375     -0.1135
   -0.0605      0.2722
   -0.9023      0.0601
   -0.0249      0.2639
    0.5025      1.7137
   -0.0143      0.2439
    0.0580     -0.2399
    0.1415      0.3293
    0.0907      0.0675
    0.0061     -0.0576
    0.0133      0.1181
   -0.0242     -0.0607
   -0.0450      0.0312
   -0.0423     -0.1241
    0.0701      0.3894
    0.1655     -0.0174
   -0.0968      0.1865
    0.0097     -0.0184
    0.1399     -0.5874
    0.0151     -0.0755
   -0.0241      0.9013
   -0.0678      0.3776
    0.0238      0.6012
    0.0653      0.4779
    0.2041      0.3183
    0.1538     -0.0608
    0.3518      0.0084
    0.1249      0.2203
    0.4486     -1.1665
    0.2676     -0.9899
    0.1224     -0.2667
    0.0663     -0.0313
    0.0654     -0.0582
   -0.0461     -0.0312
    0.3072      0.1947
    0.3874      0.9179
    0.0609     -0.2130
   -0.1363      1.2590
   -0.3546     -0.3558
    0.6535      0.4789
    0.0732      0.4442
   -0.0949     -0.2012
    0.8653     -0.3509
    0.5626     -2.9465
   -0.0844     -0.3136
    0.2801     -0.8582
    0.2180     -1.4650
   -0.0906      0.1550
   -0.2103      0.6759
    0.0715      0.3926
    0.1628     -0.7377
   -0.1428     -0.2367
   -0.5343     -0.0517
    0.0094      0.9814
    0.1855      0.7040
   -0.0916      0.5533
    0.3122      1.3881
    0.5635     -1.4688
    0.4592      0.5542
   -2.4427      1.0074
   -0.2251      0.0290
    0.0607      0.0636
    0.2386      0.2286
    0.0474     -0.3178
   -0.0204      0.1630
    0.0590     -0.0064
   -0.0509      0.0244
   -0.0385     -0.3945
    0.2716      0.8875
    0.2056     -0.0116
    0.0236      0.2898
    0.1209     -0.0368
    0.0209      0.1513
   -0.1021     -0.0432
    0.1016      0.1024
   -0.1654      0.0635
    0.0723     -0.1552
   -0.0446      1.0418
   -0.0340      0.1216
   -0.1096      0.4827
    0.1182      0.2712
   -0.0126      0.0114
   -0.0660     -0.2552
    0.2432     -0.0487
    0.0327     -0.0061
   -0.1015     -0.0077
    0.0150     -0.1761
    0.0138     -0.9323
    0.0657     -0.1540
    0.4954     -0.3630
   -0.0586     -0.1552
   -0.1083     -0.1271
    0.0342     -0.1136
    0.1827      0.1473
    0.3725      1.0498
    0.0218     -0.0513
    0.3280     -0.2491
    0.9464      0.3981
    0.0354     -0.3517
   -0.0919     -0.2065
    0.0107      0.0655
    0.2192     -0.3803
    0.0894     -0.3593
    0.3339     -1.3930
    0.0625     -0.2559
   -0.0420     -0.1595
    0.0590     -0.1089
   -0.1016     -0.3522
    0.2679      0.4165
   -0.3042      0.5682
   -0.0674      0.0783
  -26.6358    -38.1089
    0.1386     -0.4963
    0.1445     -0.8338
    0.0544      1.0722
   -0.0419      0.0954
    0.0421      0.0345
   -0.1219      0.1151
   -0.0118      0.1728
    0.0757     -0.0538
    0.1879     -0.1560
   -0.0502     -0.0831
   -0.0748      0.1480
    0.0951     -0.1165
    0.1813      0.6421
   -0.0032     -0.0767
   -0.1139      0.0451
   -0.0660     -0.0005
    0.0636     -0.0603
    0.0478     -0.0711
   -0.0037      0.0403
    1.5407     -0.1236
    0.2664      0.0847
    0.0311      0.0242
   -0.7967     -1.3797
   -1.3713      2.4652
    0.0545     -0.0753
   -0.1331      0.0937
   -0.0078     -0.1652
   -0.0471     -0.0181
    0.0881      0.0634
   -0.0797     -0.4246
   -0.0369     -0.2821
    0.1819      0.3110
    0.0842     -0.1111
   -0.0971      0.0913
   -0.0146      0.0605
    0.2805     -0.1356
    0.2024     -0.7485
   -0.0283      0.0043
    0.1963     -0.1562
    0.0057      0.0657
   -0.2808     -0.1992
   -0.0404      0.0611
   -0.0548      0.0849
    0.0997     -0.0052
    0.0927      0.0453
   -0.0231     -0.0739
   -0.0361      0.0082
   -0.5141      0.3693
    0.0836      0.2533
    0.1162      0.0833
    0.0124     -0.1382
   -0.0134     -0.0008
    0.0113      0.0224
    0.0122      0.0034
   -0.1530     -0.2928
    0.0534     -0.0386
    0.0303     -0.3435
   -0.0013      0.4017
    0.1119      0.1035
    0.0338     -0.0189
   -0.0487     -0.1417
    0.0216     -0.0614
    0.2416      0.2429
    0.0393      0.0105
    0.1205     -0.2577
    0.0267      0.1947
   -0.0868     -0.0083
   -0.0882     -0.0117
   -0.0893     -0.0653
    0.0065     -0.0336
   -0.0683     -0.1124
   -0.5149      0.3033
    0.1835      0.1681
    0.0718     -0.1441
   -0.0298      0.2959
    0.0218     -0.0245
    0.0887     -0.0511
    0.1098      0.0561
    0.2418      0.1038
    0.6848      0.0681
    0.0584     -0.0667
    0.0338     -0.0858
    1.6576      1.1274
    0.1817      0.3547
   -0.4600      1.0317
   -0.0701     -0.0231
    0.0476     -0.0067
   -0.0109     -0.2572
    0.0994      0.2326
    0.0388      0.0513
    0.1461     -0.2892
   -0.1149      0.1417
    0.0067     -0.1329
    0.4163      0.4245
   -0.0067      0.1621
    0.0749     -0.1849
    0.0165      0.0178
    0.0231     -0.1371
    0.1370      0.3099
    0.0253      0.1335
    0.0864      0.1389
   -0.2044     -0.3192
    0.0982     -0.0365
   -0.0861     -0.1371
    0.1138     -0.1609
    0.0381     -0.1477
    0.0064     -0.0380
   -0.1038     -0.0527
    0.0418      0.5062
    0.0272      0.0542
    0.0300     -0.0303
   -0.0227     -0.1859
   -0.0713      0.0822
    0.0430     -0.0231
   -0.0750      0.0682
   -0.0606      0.0024
    0.8411     -0.5339
    0.1478      0.3074
   -0.1312     -0.3380
   -0.0927     -0.0387
    0.1734     -0.2043
   -0.0288     -0.0207
    0.0208     -0.2034
    0.4114     -0.3631
    0.1588     -0.3030
    0.1463      0.1114
    0.0785      0.1465
    0.0426     -0.2732
   -0.0341      0.0740
    0.0192     -0.1649
   -0.1271      0.0168
   -0.1601      0.1205
   -0.1428      0.0435
   -0.0103     -0.3020
    0.1096      0.5781
   -0.0630      0.0971
   -0.1305      0.2961
    0.0908      0.1400
   -0.1333     -0.5607
   -0.0496     -0.1249
    0.0142     -0.2225
    0.0203      0.1416
   -0.3771     -0.2293
    0.0982     -0.0531
    0.0352      0.1698
   -0.0672     -0.0145
   -0.0841      0.3096
   -0.0037      0.1999
   -0.0001     -0.0259
   -0.1039      0.1322
    0.3154      0.2221
    0.0108      0.1028
   -0.1160      0.1891
    0.1464      0.0245
    0.1197      0.2345
    0.0757      0.1048
   -0.1260     -0.1305
    0.0492      0.0054
   -0.0252      0.0379
   -0.0471      0.0951
    0.0216     -0.0062
    0.0840     -0.4588
    0.1400     -0.1570
    0.0420      0.0200
    0.1134      0.3321
   -0.0935      0.1650
   -0.0214     -0.0890
    0.0010     -0.1890
   -0.0876      0.3154
    0.1579     -0.0650
    0.0910      0.1145
   -0.1449      0.1531
    0.0113     -0.0188
    0.0656      0.2135
    0.0835     -0.0253
    0.0947     -0.0852
   -0.0331      0.1619
    0.1318     -0.0244
   -0.2034      0.7586
    1.0386      0.0189
    3.4856      2.4158
   -0.0196      0.0666
    0.0157      0.1179
    0.1454      0.0308
    0.0551     -0.0598
   -0.0766     -0.8734
    0.1243      0.2908
   -0.0070     -0.0322
   -0.0464      0.0712
    0.1593      0.0225
   -0.0048      0.0214
    0.0325     -0.1902
   -0.1186     -0.1032
   -0.1804      0.0703
   -0.0407     -0.0981
   -0.1405     -0.2561
    0.2268     -0.0735
    0.0151     -0.0295
   -0.0984     -0.9763
   -0.1018     -0.3085
    0.0674     -0.1910
    0.1837     -0.0928
    0.2008     -0.0079
    0.0257     -0.1278
    0.0238     -0.0529
    0.0078     -0.0391
    0.0646      0.0065
    0.1393     -0.0491
   -0.0252      0.1612
    0.0688      0.0425
    0.2385      0.1446
   -0.0023      0.1094
   -0.0137     -0.1933
    0.0047     -0.0392
    0.1087     -0.1749
   -0.0216     -0.1536
    0.1528     -0.0557
   -0.3304      0.0189
   -0.2849      0.1192
    0.3445     -0.1471
   -0.1435      0.2791
    0.0703     -0.1622
    0.0450     -0.8975
   -0.0445      0.0160
    0.4181     -0.7015
   -0.3034     -0.2762
   -0.0257      0.0304
    1.4075     -6.4113
    0.0890     -0.2344
    0.0059     -0.0161
   -0.1689      0.3295
   -0.0084     -0.0307
    0.0527      0.1224
    0.0327     -0.0148
    0.0254     -0.0290
    0.1163      0.0466
    0.0846     -0.0664
    0.1951     -0.0962
    0.0199     -0.1436
    0.1782      0.0713
    0.0264      0.1404
    0.0622     -0.8000
   -0.6634     -0.4146
   -0.0734     -0.0201
   -0.0994      0.1072
   -0.3506      0.9144
    0.1519     -0.0235
   -0.0327     -0.1681
   -0.2050     -0.0695
   -0.0017     -0.0442
    0.2273      0.2136
    0.1752      0.1774
    0.2318     -1.1415
    0.1669     -0.2903
    0.1116     -0.0276
   -0.0153      0.0282
   -0.0275      0.1471
    0.0309     -0.3895
    0.2456      0.1399
   -0.0814     -0.1827
   -0.0701      0.0386
    0.0405      0.1570
    0.0352     -0.0990
   -0.3258      0.5673
   -0.1346     -0.2545
    0.0961     -0.2434
   -0.0531      0.1509
   -0.0459     -0.0428
   -0.0198     -0.0520
    0.0857      0.0878
    0.0016      0.0072
    0.0657     -0.1120
    0.0373      0.0049
    0.1928     -0.3035
    0.0732      0.0520
    0.0610      0.0078
   -0.0298      0.0143
   -0.0529     -0.2826
    0.3505     -0.1045
    0.0033      0.1247
   -0.0081     -0.0065
   -0.0089     -0.0080
    0.0832      0.5340
   -0.1964      0.2524
   -0.0129     -0.7262
    0.0336      0.1806
   -0.1522     -0.4145
    0.0772     -0.2690
    0.1278     -0.0800
    0.0004      0.0242
   -0.0661     -0.2048
    0.1572     -0.0579
   -0.0665     -0.3434
    0.1356      0.1257
   -0.0470     -0.1188
    0.0881     -0.0447
    0.0353      0.0185
    0.2360     -0.0857
    1.5963     -0.1720
    0.0163      0.2293
   -0.0909      0.6425
   -0.0528     -0.0093
   -0.0071     -0.2246
   -0.3382     -0.2835
   -0.0032     -0.2967
    0.1019     -0.0891
   -0.1771     -0.0351
   -0.0955     -0.1520
   -0.2114     -0.0877
   -0.0751     -0.1852
    0.1288     -0.0788
   -0.0164     -0.2272
    0.0258      0.2654
    0.1188     -0.1151
   -0.0441      0.0045
    0.0115     -0.0020
    0.0618      0.1766
   -0.0744      0.8299
    0.1927     -0.4733
    0.0081     -0.2635
    0.0177      0.1671
    0.0450      0.0727
    0.0749     -0.4169
    0.0597     -0.2397
    0.0739     -0.1121
   -0.0072     -0.2420
   -0.5140      3.7308
    0.1797     -0.3944
    0.0248      0.0873
    0.0545     -0.0338
    0.2069     -0.2103
   -0.2844     -0.1923
   -0.0560      0.1023
   -0.2015     -0.9114
   -0.2888      0.4156
   -0.1239      0.0818
    0.4244     -0.3180
    0.1624     -0.2144
   -0.1072     -0.4066
   -0.0298     -0.0944
   -0.1007     -0.0941
    0.0890     -0.3141
   -0.1539      0.0023
    0.0720     -0.1577
   -0.1293      0.0234
   -0.0235     -0.1240
   -0.1475     -0.2350
    0.1529     -0.3822
   -0.2290     -0.0270
   -0.0283     -0.2168
    0.3862     -0.3133
   -0.2390      0.1201
    0.0523      0.0342
    0.0221      0.1189
    0.0576      0.0419
    0.0124     -0.2487
   -0.0366     -0.0769
    0.0289     -0.1945
   -0.0715      0.5387
    0.0347      0.2305
    0.2016      0.0475
    0.0741     -0.1864
   -0.0503     -0.3074
   -0.0779     -0.1422
   -0.0080     -0.0447
    0.1089     -0.0035
    0.1598     -0.1148
    0.0626     -0.1370
    0.0411      0.1437
    0.1121     -0.3600
    0.0826      0.0067
   -0.1604      0.0034
   -0.0371      0.1118
   -0.0099     -0.0522
   -0.0072      0.3088
    0.0854      0.2273
    0.1093      0.6135
    0.1006      0.5083
    0.0300      0.3345
    0.0379     -0.2285
   -0.0642     -0.5458
   -0.0434     -0.0120
   -0.0089      0.2618
   -0.0864     -0.1753
   -0.2009     -0.0910
   -0.1919     -1.1404
    0.0781     -0.1424
    0.0737     -0.1846
    0.0072      0.0225
    0.0252     -0.2650
   -0.1389     -0.0437
    0.0650     -0.0688
   -0.0079     -0.3829
   -0.0180      0.3429
   -0.3964      0.1611
   -0.1147     -0.4367
    0.0717     -0.0173
   -0.0374      0.3935
    0.0129     -0.1654
   -0.0336     -0.2735
   -0.1037      0.1215
    0.0504      0.0881
   -0.0800      0.0871
    0.0470      0.0475
    0.0526     -0.0537
   -0.0013      0.1005
   -0.0023     -0.1163
    0.0508     -0.1054
    0.1101     -0.0677
   -0.0530     -0.0171
   -0.4040     -0.3734
   -0.2356     -0.2387
   -0.0252     -0.1745
    0.0975      0.4255
   -0.0870      0.0662
   -0.2588      0.1447
    0.2238     -0.1504
   -0.0027      0.2862
   -0.2599     -0.0082
   -0.0258     -0.0809
   -0.0591      0.0232
   -0.4347     -1.5748
    0.1544      0.5005
   -0.1959      0.3473
   -0.0665      0.2056
   -0.0474      0.0540
    0.0202      0.1344
    0.0163     -0.0010
    0.0628     -1.1547
   -0.1089     -0.6288
   -0.4049     -0.8195
    0.0180     -0.0996
   -0.2502     -0.3650
    0.0216     -0.0258
    0.0447      0.2381
   -0.0115     -0.1045
   -0.0011     -0.1601
   -0.1239      0.1357
   -0.0210     -0.0659
    0.0057     -0.0172
    0.0249     -0.2846
    0.1065      0.8418
    0.0370      0.0832
   -0.0165     -0.5525
    0.0035     -0.0343
   -0.0059     -0.4236
   -0.0017     -0.4423
   -0.0585      0.1844
    0.0602      0.0377
    0.2302      0.7425
   -0.1594      0.5391
   -0.1847      0.0045
   -0.0239      0.0261
   -0.0147     -0.2384
   -0.0276     -0.2372
   -0.2630     -1.5186
    0.0386      0.6866
    0.3463     -0.1899
    0.1547      0.2099
    0.1946     -0.1140
    0.0811      0.0676
    0.2222      0.3375
    0.2535     -1.2060
   -0.0798      0.0585
   -0.1513     -0.2107
   -0.0084     -0.1533
   -0.0843      0.3569
    0.4117      2.0662
   -1.1177     -3.0667
    0.0318     -0.0714
    0.0553     -0.2862
   -0.2483      0.2117
    0.1403      0.5310
    0.0106     -0.0400
   -0.0263      0.1273
   -0.0754      0.0659
   -0.0473     -0.1227
    0.0432      0.0565
   -0.0424     -0.0255
    0.1426     -0.0184
    0.0802     -0.0048
    0.0050      0.4788
   -0.1546     -3.1869
    0.0417      0.0226
    0.0700     -0.0712
   -1.7695      2.8171
   -0.0078     -0.0779
   -0.0738      0.2419
    0.1720      0.9991
   -0.0265      0.2220
   -0.1584      0.0018
    0.0931      0.0159
   -0.0545      0.0528
   -0.1446      0.2962
   -0.0395     -0.1045
    0.0136      0.0297
   -0.1053      0.1758
    0.0414      0.0593
   -0.1424     -0.2160
   -0.0288     -0.3824
   -0.0119     -0.1132
    0.1229     -0.0458
   -0.0818     -0.1454
   -0.0169      0.1321
   -0.3389     -0.0863
    0.0882     -0.3995
   -0.1471      0.0014
    0.9899      0.1535
    0.0259     -0.1603
   -0.0670      0.7148
   -0.0429      0.2339
   -0.1199     -0.0025
    0.0994      0.3547
   -0.0053     -0.0918
    0.0268     -0.0722
    0.0344     -0.1376
    0.0403     -0.0260
    0.0196     -0.0586
   -0.1012     -0.1593
    0.0867      0.1506
   -0.0236     -0.3374
   -0.0484     -0.3867
    0.0633      0.0960
   -0.0520      0.2321
    0.2257     -0.2973
    0.1329     -0.0337
    0.0443      0.5511
   -0.1052     -0.1586
   -0.1130      0.3059
    0.0397     -0.0573
    0.0455     -0.7090
   -0.0940     -0.0945
   -0.2448      0.5692
    0.0296     -0.0273
    0.1025     -0.1886
   -0.3064     -0.0387
    0.1499     -0.0797
    0.0860     -0.0344
    0.0009      0.1175
   -0.0439     -0.2857
   -0.0628     -0.1142
   -0.1928      0.8117
   -0.1122      0.1037
    0.0073      0.0180
    0.0159      0.1416
    0.0400      0.0994
   -0.4631     -1.1484
    0.0140     -0.1033
    0.0379     -0.1706
   -0.0054      0.1020
    0.0362      0.0363
    0.6980      0.2629
   -0.0091      0.1231
    0.0402      0.2079
   -0.3784      0.9999
   -0.0166      0.2987
    0.1053      0.2373
   -0.0452     -0.0249
   -0.0295      0.2281
   -0.0081     -0.0128
    0.1273     -0.3227
    0.0048     -0.0209
   -0.1659      0.2101
    0.1593     -0.4531
   -0.1018     -0.2484
    0.0230     -0.2250
   -0.0177     -0.1708
   -0.1723      0.2420
    0.0686     -0.2533
   -0.0234     -0.0067
   -0.0990     -0.1888
   -0.0054     -0.1842
    0.0573     -0.1885
    0.1287     -0.2952
    0.0811      0.0385
    0.1561     -0.0976
    0.0430     -0.2229
   -0.0571     -0.2276
    0.0744      0.0460
   -0.0563      0.0592
    0.0660      0.1076
   -0.0395     -0.3084
   -0.0146     -0.0388
    0.1350     -0.1669
    0.2314     -0.4786
    0.1954     -0.1924
   -0.0117     -0.0785
   -0.0136      0.2899
    0.1551     -0.0400
   -0.0549     -0.0689
    0.1158      0.8305
    0.2341     -0.2565
    0.0085     -0.1479
   -0.0592     -0.1411
    0.1308     -0.0820
   -0.0925     -0.2631
    0.3132     -0.6695
    0.0094     -0.1294
    0.1461      0.0481
    0.0017      0.0695
    0.0792     -0.2078
   -0.2307     -0.0248
    0.1313      0.0016
    0.1196     -0.6283
    0.1921     -0.1481
    0.0167     -0.2196
   -0.0755      0.0039
   -0.0631     -0.0134
   -0.1089     -0.6166
   -0.0407      0.1345
   -0.0651     -0.0337
   -0.1064      0.0253
   -0.1089      0.1921
    0.0584     -0.0592
   -0.0608     -0.0426
    0.0689     -0.1326
   -0.0432     -0.1125
   -0.0602     -0.1774
   -0.0768      0.1199
   -0.0009      0.2078
   -0.0140     -0.3013
   -0.1430      0.1073
    0.0773     -0.1237
   -0.0185     -0.2494
   -0.1833      0.0811
   -0.0971      0.1358
   -0.1913      0.0856
   -0.1990     -0.3585
    0.1020      0.0558
    0.1054      0.3972
   -0.1315     -0.0236
   -0.0101     -0.0453
   -0.0779     -0.2422
   -0.0750      0.0451
   -0.0282     -0.0506
    0.1374     -0.3133
    0.0007     -0.1682
    0.1033      0.4033
   -0.0106     -0.1502
    0.0846     -0.3458
    0.0042     -0.1298
    0.0105     -0.1401
    0.0398      0.2488
    0.0623      0.2177
   -0.2197      0.5171
   -0.0352      0.0748
   -0.0059      0.0165
   -0.0414      0.2095
   -0.0480      0.1194
   -0.1414      0.0386
    0.1015      0.2183
   -0.1827      0.2719
    0.0504     -0.0544
    0.0836     -0.1163
   -0.1449      0.1066
   -0.0019      0.2134
    0.0753      0.0949
    0.0374      0.0623
    0.0975      0.1563
    0.1526     -0.2351
    0.1152      0.3045
    0.0893      0.0234
   -0.0985      0.2763
   -0.0374      0.2243
    0.0298      0.0198
   -0.0242     -0.0651
    0.0229      0.0593
    0.0591      0.0192
    0.1656     -0.2698
   -0.0618     -0.2775
   -0.1389      0.1622
    0.0860     -0.4181
    0.0624      0.3047
    0.0976     -0.0067
   -0.2282      0.3306
    0.1690      0.0417
   -0.1064      0.2548
   -0.0824      0.0394
    0.0451      0.1272
    0.1075     -0.3466
    0.1584      0.0872
   -0.1509     -0.0348
   -0.0880     -0.2921
   -0.0317     -0.0103
   -0.0644     -0.0745
    0.1331     -0.4984
    0.1080     -0.0484
   -0.0313     -0.0214
   -0.0238     -0.0366
    0.2113      0.1406
    0.0418     -0.0730
    0.0017      0.0936
   -0.1629      0.2072
    0.0491      0.0224
    0.0568     -0.0110
   -0.0202      0.1005
    0.0427     -0.0560
    0.0074      0.1221
   -0.1958      0.4196
   -0.6278     -1.3131
    0.0498     -0.1463
    0.5451     -0.0485
