    delta_RA   delta_DEC
    0.0377     -0.0612
   -0.0097     -0.0359
    0.0747      0.3955
    0.0934      0.0414
   -0.0014      0.0679
    0.1474      0.1790
   -0.0061     -0.0836
    0.0151      0.2665
    0.0091     -0.0531
    0.0095     -0.0597
   -0.0105      0.0098
    0.1282     -0.0873
    0.0350     -0.0907
    0.0031     -0.0443
   -0.0147     -0.1238
    0.0511     -0.0818
    0.0603     -0.0915
   -0.0004      0.0141
    0.0301     -0.0210
    0.0080     -0.0525
    0.0103      0.0207
   -0.0467     -0.0441
   -0.0097     -0.0385
    0.0267     -0.1205
    0.0468     -0.0500
   -0.0061     -0.0619
   -0.0243     -0.0163
   -0.0196     -0.0083
   -0.0320      0.0321
    0.0075      0.0360
    0.0264      0.0661
    0.0343      0.0319
    0.0004     -0.0127
    0.0229      0.2634
   -0.0416     -0.1059
    0.0340     -0.0408
    0.0205      0.1048
   -0.0205     -0.0232
    0.1411      0.1142
    0.0180      0.0134
   -0.0110      0.0355
    0.0528      0.0334
    0.0159     -0.0723
    0.0635     -0.0627
    0.0814     -0.0271
    0.0807      0.0341
    0.0193      0.1064
    0.0036     -0.0761
   -0.2921      0.1887
    0.2011     -0.0041
   -0.0130     -0.0607
    0.0358     -0.0098
    0.0088     -0.0270
   -0.0085     -0.0454
    0.3866      0.3368
    0.0798      0.0088
   -0.0183     -0.0418
   -0.0241      0.0231
    0.0113      0.0126
   -0.0397      0.0112
   -0.0158     -0.0713
    0.1595     -0.0048
   -0.0021      0.0028
   -0.0634     -0.1140
   -0.0310      0.0024
   -0.0144      0.0683
   -0.0028      0.0571
    0.2321      0.2330
    0.0483      0.0491
   -0.0135     -0.0420
   -0.0751      0.1498
    0.2944     -0.0275
    0.0372      0.0568
    0.0991      0.0543
    0.0595     -0.2536
    0.2461      0.0441
   -0.3168     -0.3772
    0.1812     -0.0330
   -1.4958     -1.2573
    0.0038      0.1549
    0.0118      0.0580
    0.0756      0.1746
    0.0485     -0.0283
    0.0170     -0.0383
   -0.0775      0.0325
    0.0189     -0.0309
   -0.0173     -0.0218
   -0.0105     -0.0255
    0.0118     -0.0066
    0.5149      1.4018
    0.0622     -0.2252
   -0.8284      0.2244
    0.1012     -0.5816
   -0.0092      0.0089
   -0.0058      0.0270
   -0.0770      0.1224
    0.0594      0.0650
    0.0240      0.0339
   -0.0027     -0.0396
   -0.0185     -0.1385
    0.0791     -0.0501
    0.0633     -0.0175
    0.0180     -0.0574
    0.0129     -0.0550
    0.0671      0.1984
   -0.0162     -0.0366
   -0.0308      0.0382
   -0.0285     -0.0229
   -0.0171     -0.0162
   -0.0170     -0.0244
   -0.0522     -0.0836
   -0.0318      0.0015
   -0.0001     -0.0277
   -0.0005      0.0251
    0.0059      0.0313
   -0.0013      0.0716
    0.0131     -0.0320
    0.0650      0.0268
    0.0592      0.0412
    0.0266      0.0040
   -0.0304     -0.0432
    0.0263      0.0150
   -0.1359      0.1859
    0.2150     -0.1490
   -0.0534      0.0390
   -0.0395     -0.0848
   -0.0097     -0.0709
    0.0082      0.1112
    0.0049     -0.0078
    0.0120     -0.0600
    0.0185     -0.0826
   -0.0316     -0.0413
   -0.0126     -0.0218
    0.0188      0.2172
   -0.0033     -0.0119
   -0.0120     -0.2978
   -0.0086     -0.0639
    0.0370     -0.0090
    0.0256     -0.0016
   -0.0412     -0.0184
   -0.0269      0.0109
    0.1401      0.2333
    0.0383     -0.0795
   -0.2415      0.2216
   -0.7911     -0.9782
   -0.0162     -0.0475
   -0.0335      0.0205
    0.0012      0.1146
   -0.0721      0.0651
    0.0489     -0.0895
    0.0055     -0.1194
    0.2432      0.5267
   -0.0493     -0.0314
   -0.0610      0.0475
   -0.0131     -0.0107
   -0.0253      0.0335
   -0.0438     -0.1154
   -0.0702     -0.3340
   -0.0398      0.0335
   -0.0008      0.0100
    0.2190     -0.2095
    0.0060      0.0435
   -0.0157      0.1612
    0.0172      0.0449
    0.0239      0.0318
   -0.0008     -0.0100
    0.0776     -0.0580
    0.0511     -0.0876
    0.0042      0.0039
   -0.0093     -0.0323
   -0.2317     -0.2077
   -0.0160     -0.0219
   -0.0213     -0.0947
   -0.0065      0.0296
    0.0012     -0.0656
   -0.0282     -0.0070
   -0.0006      0.0312
    0.0093      0.0347
    0.2235     -0.1950
   -0.0194     -0.0502
    0.0543     -0.0342
   -0.0295      0.1742
   -0.0306     -0.0497
   -0.0527      0.0180
    0.0067     -0.0141
   -0.0424     -0.0682
    0.0447      0.0625
   -0.0341     -0.1788
    0.2785      0.5592
   -1.0937     -0.1748
    0.0560     -0.0293
    0.0417      0.0607
   -0.1136      0.0029
   -0.0389     -0.1507
    0.0501      0.0258
    0.3621     -0.3849
    0.0309     -0.1390
    1.6942     -0.0410
    0.0495     -0.0467
   -0.0546     -0.0774
    0.0546     -0.2144
   -0.0040     -0.0897
    0.0207     -0.0657
   -0.0225     -0.0432
    0.0581     -0.0534
    4.5038      1.8063
    0.0175     -0.0315
    0.1651     -0.1187
   -0.3428     -0.4903
    0.2290      0.0283
    0.2511     -0.0930
    0.1312     -0.0320
    0.2331     -0.3802
   -0.0953     -0.1138
   -0.0150     -0.1093
   -0.0055     -0.1487
    0.0402      0.0443
    0.0941      0.0771
   -0.0264     -0.0711
   -0.5136     -0.7109
   -0.0082     -0.1205
    0.0155     -0.0664
   -0.0191      0.0338
   -0.2293     -0.0811
   -0.1846     -0.0006
   -0.0251     -0.0694
   -0.0156      0.0081
   -0.1992     -0.0405
    0.1086      0.1711
    0.0427      0.1063
    0.0485     -0.1697
    0.0621     -0.3221
   -0.1241      0.0531
   -0.0144     -0.0532
    0.0928     -0.2500
   -0.0442      0.0054
   -0.0107     -0.2315
   -0.1318      0.0580
    0.0112     -0.0443
   -0.0350     -0.1784
   -0.0217     -0.0177
   -0.1723     -0.2080
    0.0852     -0.0770
    0.1142     -0.0410
    0.0634      0.0054
    0.0719     -0.2385
   -0.0178     -0.3423
   -0.0154     -0.0614
    0.0050     -0.0232
   -0.0902      0.0130
    0.0579     -0.0111
   -0.0674     -0.0623
   -0.0179      0.0149
    0.0092     -0.1344
   -0.0511      0.0423
    0.0380      0.0777
    0.0410     -0.1594
    0.0087     -0.0082
    0.0068      0.0152
    0.0237      0.0443
   -0.0464      0.0188
   -0.1236     -0.3996
    0.0977      0.0189
    0.1038     -0.0193
   -0.0160      0.0098
    0.0107      0.0140
    0.1506      0.0526
    0.2165     -0.0555
    0.0976     -0.0099
   -0.2606      0.1112
   -0.0173      0.0342
    0.0149      0.0021
    0.0192      0.0668
    0.0001      0.0234
    0.0142     -0.0229
    0.0060      0.1446
    0.0314      0.0497
    0.1193      0.0335
    0.0515      0.0133
    0.0924     -0.1044
    0.0240      0.1403
   -0.2795      0.7372
    0.0711     -0.0640
   -0.0081      0.0493
   -3.4177      1.2196
    0.0059      0.0082
   -0.3903     -0.1149
    0.0701     -0.0426
   -0.0403      0.0496
   -0.1057      0.1315
    0.0086      0.0162
    0.0008      0.2677
    0.1051      0.2368
    0.0412     -0.0408
    0.1183      0.0311
   -0.0879     -0.1529
   -0.0080      0.0207
    0.0806      0.1573
    0.0324      0.0191
    0.0159      0.0319
   -0.0782      0.1598
   -0.0093      0.0371
    0.0065      0.1443
   -0.0093      0.0078
   -0.0553     -0.0561
    0.0027      0.0267
   -0.0492      0.0279
   -1.1663     -0.4253
    0.0180      0.0730
    0.1644      0.1280
