MJD,cpo_dx,cpo_dy,err_dx,err_dy
51657,0.000387,0.000229,0.000387,0.000229
51658,0.00038,0.000209,0.00038,0.000209
51659,0.000279,0.000142,0.000279,0.000142
51660,5.1e-05,1.2e-05,5.1e-05,1.2e-05
51661,-0.000133,-7.9e-05,0.000133,7.9e-05
51662,-0.000241,-0.000112,0.000241,0.000112
51663,-0.000291,-0.000103,0.000291,0.000103
51664,-0.000294,-6.2e-05,0.000294,6.2e-05
51665,-0.000261,1e-06,0.000261,1e-06
51666,-0.0002,7.7e-05,0.0002,7.7e-05
51667,-0.000122,0.000155,0.000122,0.000155
51668,4e-06,0.000239,4e-06,0.000239
51669,0.000133,0.000308,0.000133,0.000308
51670,0.00023,0.000345,0.00023,0.000345
51671,0.000279,0.000339,0.000279,0.000339
51672,0.00026,0.000277,0.00026,0.000277
51673,0.000155,0.000147,0.000155,0.000147
51674,-0.000107,-0.000102,0.000107,0.000102
51675,2e-05,-6.7e-05,2e-05,6.7e-05
51676,0.000196,3.5e-05,0.000196,3.5e-05
51677,0.000209,5.8e-05,0.000209,5.8e-05
51678,0.000133,4.2e-05,0.000133,4.2e-05
51679,-5e-06,-2e-06,5e-06,2e-06
51680,-0.000178,-6.5e-05,0.000178,6.5e-05
51681,-0.000358,-0.000135,0.000358,0.000135
51682,-0.000343,-0.000133,0.000343,0.000133
51683,-0.000256,-0.000109,0.000256,0.000109
51684,-0.000167,-8.9e-05,0.000167,8.9e-05
51685,-8.9e-05,-8.1e-05,8.9e-05,8.1e-05
51686,-3.7e-05,-8.8e-05,3.7e-05,8.8e-05
51687,-2.3e-05,-0.000117,2.3e-05,0.000117
51688,-6.6e-05,-0.000178,6.6e-05,0.000178
51689,-9.4e-05,-0.00023,9.4e-05,0.00023
51690,-9.2e-05,-0.000267,9.2e-05,0.000267
51691,-7.2e-05,-0.000293,7.2e-05,0.000293
51692,-3.6e-05,-0.000307,3.6e-05,0.000307
51693,9e-06,-0.00031,9e-06,0.00031
51694,5.9e-05,-0.000304,5.9e-05,0.000304
51695,0.000109,-0.00029,0.000109,0.00029
51696,0.00012,-0.000264,0.00012,0.000264
51697,0.000114,-0.000231,0.000114,0.000231
51698,0.000103,-0.000193,0.000103,0.000193
51699,8.7e-05,-0.000151,8.7e-05,0.000151
51700,6.9e-05,-0.000109,6.9e-05,0.000109
51701,4.7e-05,-6.7e-05,4.7e-05,6.7e-05
51702,2.4e-05,-2.6e-05,2.4e-05,2.6e-05
51703,-3e-06,8e-06,3e-06,8e-06
51704,-3e-05,3.7e-05,3e-05,3.7e-05
51705,-5.7e-05,6e-05,5.7e-05,6e-05
51706,-8.3e-05,7.7e-05,8.3e-05,7.7e-05
51707,-0.000106,8.6e-05,0.000106,8.6e-05
51708,-0.000126,8.7e-05,0.000126,8.7e-05
51709,-0.000142,7.8e-05,0.000142,7.8e-05
51710,-0.000124,-7.2e-05,0.000124,7.2e-05
51711,-9.7e-05,-0.000249,9.7e-05,0.000249
51712,-7.6e-05,-0.000382,7.6e-05,0.000382
51713,-6.3e-05,-0.000446,6.3e-05,0.000446
51714,-6.5e-05,-0.000414,6.5e-05,0.000414
51715,-8.6e-05,-0.000263,8.6e-05,0.000263
51716,-0.000134,5.2e-05,0.000134,5.2e-05
51717,-0.000168,0.000293,0.000168,0.000293
51718,-0.00018,0.000417,0.00018,0.000417
51719,-0.000177,0.000454,0.000177,0.000454
51720,-0.00016,0.000422,0.00016,0.000422
51721,-0.000134,0.000335,0.000134,0.000335
51722,-0.000101,0.00021,0.000101,0.00021
51723,-6.4e-05,6.4e-05,6.4e-05,6.4e-05
51724,-1.7e-05,1.3e-05,1.7e-05,1.3e-05
51725,2.9e-05,-1e-06,2.9e-05,1e-06
51726,6.9e-05,-1e-05,6.9e-05,1e-05
51727,9.7e-05,-1.2e-05,9.7e-05,1.2e-05
51728,0.00011,-5e-06,0.00011,5e-06
51729,0.000103,1.2e-05,0.000103,1.2e-05
51730,7.2e-05,4e-05,7.2e-05,4e-05
51731,1.3e-05,8.1e-05,1.3e-05,8.1e-05
51732,-8.5e-05,0.000141,8.5e-05,0.000141
51733,-0.00016,0.000176,0.00016,0.000176
51734,-0.000193,0.000171,0.000193,0.000171
51735,-0.000185,0.000129,0.000185,0.000129
51736,-0.000133,5.2e-05,0.000133,5.2e-05
51737,-3.1e-05,-7.9e-05,3.1e-05,7.9e-05
51738,6.5e-05,-3e-05,6.5e-05,3e-05
51739,0.000119,6.8e-05,0.000119,6.8e-05
51740,0.000128,0.000107,0.000128,0.000107
51741,0.000104,0.000117,0.000104,0.000117
51742,5.7e-05,0.000104,5.7e-05,0.000104
51743,-3e-06,7.5e-05,3e-06,7.5e-05
51744,-6.6e-05,3.7e-05,6.6e-05,3.7e-05
51745,-4.7e-05,6e-05,4.7e-05,6e-05
51746,1e-06,9.7e-05,1e-06,9.7e-05
51747,4.3e-05,0.00012,4.3e-05,0.00012
51748,7e-05,0.000119,7e-05,0.000119
51749,7.5e-05,8.8e-05,7.5e-05,8.8e-05
51750,4.9e-05,1.8e-05,4.9e-05,1.8e-05
51751,-1.9e-05,-0.000103,1.9e-05,0.000103
51752,-7.7e-05,-0.000196,7.7e-05,0.000196
51753,-0.000112,-0.000242,0.000112,0.000242
51754,-0.000131,-0.000254,0.000131,0.000254
51755,-0.000137,-0.000238,0.000137,0.000238
51756,-0.000132,-0.0002,0.000132,0.0002
51757,-0.000118,-0.000147,0.000118,0.000147
51758,-9.9e-05,-8.6e-05,9.9e-05,8.6e-05
51759,-8.7e-05,-5.6e-05,8.7e-05,5.6e-05
51760,-7.7e-05,-3.8e-05,7.7e-05,3.8e-05
51761,-6.5e-05,-2e-05,6.5e-05,2e-05
51762,-5.4e-05,-2e-06,5.4e-05,2e-06
51763,-4.4e-05,1.5e-05,4.4e-05,1.5e-05
51764,-3.5e-05,3e-05,3.5e-05,3e-05
51765,-2.9e-05,4.3e-05,2.9e-05,4.3e-05
51766,-5.5e-05,-3e-06,5.5e-05,3e-06
51767,-9.1e-05,-6.6e-05,9.1e-05,6.6e-05
51768,-0.000125,-0.000116,0.000125,0.000116
51769,-0.000152,-0.000144,0.000152,0.000144
51770,-0.00017,-0.000141,0.00017,0.000141
